ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.java.liberty.ReplaceWSPrincipalGetCredential,Replace `WSPrincipal.getCredential()` with `WSSubject` lookup,Replaces `WSCredential credential = WSPrincipal.getCredential();` with a `null` initializer + `try/catch` lookup.,1,Liberty,Java,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.java.liberty.ServerName,Use `getProperty("wlp.server.name")`,`ServerName.getDisplayName()` is not available in Liberty.,1,Liberty,Java,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.java.liberty.WebSphereUnavailableSSOCookieMethod,Replace `revokeSSOCookies` with `logout`,"Replace `WSSecurityHelper.revokeSSOCookies(request, response)` with `request.logout()`.",1,Liberty,Java,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.java.liberty.RemoveWas2LibertyNonPortableJndiLookup,Removes invalid JNDI properties,Remove the use of invalid JNDI properties from Hashtable.,1,Liberty,Java,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.java.liberty.MigrateFromWebSphereToLiberty,Migrate from WebSphere traditional to Liberty,Use this category of rules to identify code changes needed when migrating from WebSphere Application Server traditional to Liberty.,51,Liberty,Java,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.java.liberty.WebSphereUnavailableSSOMethods,Use `getSSOCookieFromSSOToken` and `logout`,This recipe replaces `LTPACookieFromSSOToken()` with  `getSSOCookieFromSSOToken`  and `revokeSSOCookies` with `logout`. The two methods are  deprecated in traditional WebSphere Application Server Version 8.5 and might be removed in a future release. They are not available on Liberty.,7,Liberty,Java,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.xml.liberty.PersistenceXmlLocationRule,Move persistence.xml file,This recipes moves persistence.xml files into the root META-INF directory in source folder.,1,Liberty,XML,,Basic building blocks for transforming XML.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.xml.liberty.WebBeansXmlRule,Replace beans.xml file,This Recipe replaces OpenWebBeans schema in every beans.xml with the standard CDI schema.,1,Liberty,XML,,Basic building blocks for transforming XML.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.xml.liberty.AppDDNamespaceRule,Use correct application namespace values,Namespace values in application.xml must be consistent with the descriptor version.,7,Liberty,XML,,Basic building blocks for transforming XML.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.xml.liberty.ConnectorDDNamespaceRule,Use correct connector namespace values,Namespace values in ra.xml must be consistent with the descriptor version.,7,Liberty,XML,,Basic building blocks for transforming XML.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.xml.liberty.EJBDDNamespaceRule,Use correct ejb-jar namespace values,Namespace values in ejb-jar.xml must be consistent with the descriptor version.,7,Liberty,XML,,Basic building blocks for transforming XML.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.xml.liberty.WebDDNamespaceRule,Use correct web-app namespace values,Namespace values in web.xml must be consistent with the descriptor version.,7,Liberty,XML,,Basic building blocks for transforming XML.
maven,org.openrewrite.recipe:rewrite-liberty,org.openrewrite.maven.liberty.AddOpenLibertyPlugin,Add Liberty Maven plugin,"This recipe adds the Liberty Maven plugin, which provides several goals for managing a Liberty server and applications.",3,Liberty,Maven,,
